Exercise Name,Category,Age Group,Goals,Target Region,Contraindications,Fitness Level,Available Equipment,Sets,Reps,RPE,Rest Intervals,Health Benefit,Steps to Perform,Safety Cue,Validation Status
Heel-to-Toe Rock (Standing),"Mobility, Rehabilitation",60+,"Rehabilitation & Injury prevention, Improve Flexibility & Mobility",Lower Body (Ankles/Calves),"Acute plantar fasciitis, severe ankle stiffness",Level 1 – Assisted / Low Function,Bodyweight,3,15-20 rocks,2-1,30 seconds,Gentle Ankle Mobilization & Circulation,"1. Stand tall. Slowly rock forward onto the balls of your feet (heels up). 2. Slowly rock backward onto your heels, lifting your toes up. 3. Maintain a continuous, gentle rocking motion. Use a wall for support if needed.",Keep the movement slow and controlled. Focus on mobilizing the ankle joint through the full range.,
Kneeling Cable/Band Push-Down (Triceps),Functional Strength,18-60,Increase overall strength,Upper Body (Triceps),"Acute elbow pain, shoulder pain",Level 4 – Active Wellness,Cable Machine/Band,3,15-Dec,7-6,60 seconds,Triceps Isolation & High Load,"1. Kneel facing the cable machine (or band anchor) with a rope/bar attachment. 2. Pull the handle down until arms are straight, squeezing the triceps at the bottom. 3. Slowly let the handle rise back up to the start, controlling the elbow flexion.",Keep your elbows pinned to your sides throughout the movement. Focus on the final lockout with the triceps.,
Yoga: Seated Forward Fold (Paschimottanasana),"Flexibility, Yoga",All Ages,"Improve Flexibility & Mobility, Reduce Stress",Lower Body (Hamstrings/Spine),"Acute spinal disc injury, unhealed hamstring tear",Level 3 – Moderate / Independent,Mat,2,Hold 60-90 seconds,3-2,30 seconds,Deep Hamstring & Calve Stretch,"1. Sit on the floor, legs extended straight out in front of you. 2. Sit tall, then hinge forward at the hips, reaching toward your feet or shins. 3. Allow a slight rounding in the upper back to deepen the stretch, and relax.",Use a strap around your feet if you cannot reach them. Focus on the stretch in the back of the legs.,
Wall Sit with Alternating Toe Lift,"Functional Strength, Stability",40+,"Increase overall strength, Rehabilitation & Injury prevention","Lower Body, Core","Acute knee pain, recent Achilles tendon repair",Level 3 – Moderate / Independent,"Bodyweight, Wall",3,10-12 / side,6-5,45 seconds,Quad Endurance & Shin/Ankle Strength,"1. Get into a standard Wall Sit position (90-degree knees). 2. While holding the squat, slowly lift the toes of one foot off the floor (shin contraction). 3. Lower the toes and switch sides, maintaining the squat depth.",Keep your back flat against the wall and maintain the knee angle. Avoid letting the heels lift excessively.,
Rotational Head Turns (Standing),"Mobility, Rehabilitation",60+,"Rehabilitation & Injury prevention, Improve Flexibility & Mobility",Full Body (Neck),"Acute whiplash, severe vertigo",Level 1 – Assisted / Low Function,"Bodyweight, Chair/Wall",3,8-10 / side,2-1,30 seconds,Gentle Cervical Spine Range of Motion,"1. Stand tall (use support if needed). Gaze straight ahead. 2. Slowly turn your head to look over one shoulder, only as far as comfortable. 3. Slowly return to the center and then turn to the opposite shoulder.",Move slowly and deliberately. Do not let your shoulders or torso move during the head turn.,
Medicine Ball Russian Twist (Seated),Core (Spine-Friendly),18-55,Increase overall strength,Core (Obliques),"Acute spinal disc injury, unhealed hernia",Level 4 – Active Wellness,"Light Medicine Ball, Mat",3,15-20 / side,7-6,60 seconds,Dynamic Rotational Core Power,"1. Sit on the floor, knees bent, feet slightly off the floor (or planted for easier version). Lean back slightly, maintaining a straight back. 2. Hold a light medicine ball/dumbbell. Twist your torso quickly from side to side, tapping the ball on the floor next to your hips.","Maintain the angle of your torso. The twist comes from the core, not just swinging the arms.",
Dumbbell Lateral Lunge (Controlled),"Functional Strength, Mobility",18-60,"Increase overall strength, Improve Flexibility & Mobility",Lower Body (Inner/Outer Thigh),"Acute knee pain, unhealed groin strain",Level 4 – Active Wellness,Dumbbell,3,8-10 / side,8-7,90 seconds,Unilateral Load & Hip Mobility,"1. Stand holding one dumbbell vertically (goblet style) or at your sides. 2. Step wide to the side. Sink the hips back and down, loading the bent leg, keeping the opposite leg straight. 3. Drive hard through the heel of the bent leg to return to standing.",Keep your chest up and hinge strongly at the hip. Ensure the bent knee tracks safely over the foot.,
Child's Pose (Extended Arms),"Flexibility, Stress Reduction",All Ages,"Reduce Stress, Improve Flexibility & Mobility",Full Body (Shoulders/Back),"Acute knee injury, severe diarrhea",Level 1 – Assisted / Low Function,Mat,1,Hold 2-5 minutes,2-1,N/A,Shoulder Decompression & Spinal Length,"1. Kneel on the floor, sit back on heels, open knees wide. 2. Fold torso forward, letting the forehead rest on the mat. 3. Extend arms straight out in front of you, stretching the shoulders and back.",Breathe deeply and sink the hips back onto the heels. Use a block under the forehead if the floor is too far away.,
Banded Lateral Row (Standing),"Functional Strength, Posture",All Ages,"Increase overall strength, Improve Posture and Balance",Upper Body (Back/Shoulders),"Acute shoulder pain, elbow pain",Level 3 – Moderate / Independent,Resistance Band (Long),3,12-15 / side,6-5,60 seconds,Horizontal Pull & Core Anti-Rotation,"1. Loop a band around an anchor (chest height). Stand perpendicular to the anchor. 2. Grip the band in the outside hand. Pull the hand straight back toward the ribcage, squeezing the shoulder blade. 3. Slowly resist the band forward.",Brace your core to prevent the band from rotating or pulling your torso toward the anchor.,
Single-Leg Stork Stance (Head Turns),"Balance, Stability",40+,"Improve Posture and Balance, Rehabilitation & Injury prevention","Core, Full Body","Severe dizziness, acute ankle sprain",Level 5 – Adaptive Advanced,"Bodyweight, Wall/Chair",3,10 turns / direction / side,7-6,60 seconds,Vestibular System & Maximal Balance Challenge,"1. Stand on one leg. Lift the opposite foot slightly. 2. Slowly turn your head from side to side (looking left, then right) while maintaining balance. 3. Have a spotter or wall ready.",Maintain controlled head movement. The head turns challenge the inner ear and increase the difficulty of the balance.,
Wrist Supination/Pronation (Dumbbell),"Functional Strength, Rehabilitation",All Ages,"Increase overall strength, Rehabilitation & Injury prevention",Upper Body (Forearms/Grip),"Acute wrist pain, carpal tunnel flare-up",Level 2 – Beginner Functional,"Light Dumbbell, Bench",3,15-20 / direction / arm,4-3,45 seconds,Forearm Strength & Grip Stability,"1. Sit and rest your forearm on your thigh/bench, wrist hanging off the edge. Hold a light dumbbell with a neutral grip. 2. Supination: Slowly rotate the palm up toward the ceiling. Pronation: Slowly rotate the palm down toward the floor.",Keep the forearm completely still. The rotation should occur only at the wrist/forearm joint. Use very light weight.,
Alternating Heel Touch (Supine),Core (Spine-Friendly),All Ages,Increase overall strength,Core (Obliques),"Acute low back pain, unhealed abdominal separation",Level 3 – Moderate / Independent,Mat,3,15-20 / side,5-4,45 seconds,Oblique Isolation & Spinal Safety,"1. Lie on your back, knees bent, feet flat near your glutes. Lift head/shoulders slightly off the floor. 2. Reach one hand down to tap the heel of the same-side foot. 3. Immediately curl across to tap the opposite heel. Maintain the slight crunch throughout.","Keep the low back pressed into the floor. The movement is lateral (side-to-side curl), not forward.",
Wall Sit with Weight (Thigh Press),Functional Strength,18-60,Increase overall strength,Lower Body (Quads/Adductors),"Acute knee pain, high blood pressure (avoid straining)",Level 4 – Active Wellness,"Wall, Dumbbell/KB, Mat",3,Hold 45-60 seconds,8-7,90 seconds,Quad Endurance & Inner Thigh Activation,1. Get into a Wall Sit (90-degree knees). Place a small rolled-up mat or block between the thighs. 2. Hold a dumbbell/KB (goblet style). 3. Squeeze the mat/block between your thighs as hard as possible while holding the Wall Sit.,Maintain the perfect knee angle. The internal squeeze activates the adductor muscles (inner thighs).,
Dumbbell Rear Delt Fly (Incline Bench),"Posture, Stability",All Ages,"Improve Posture and Balance, Increase overall strength",Upper Body (Rear Delts),"Acute shoulder pain, elbow pain",Level 4 – Active Wellness,"Dumbbells, Incline Bench",3,15-Dec,7-6,60 seconds,Rear Shoulder Isolation & Safety,"1. Lie chest-down on an incline bench, supporting your chest. Hold light dumbbells. 2. With a slight bend in the elbows, raise arms out to the sides (reverse fly), squeezing shoulder blades. 3. Slowly lower back down.",Keep your head neutral. The incline bench supports the spine and isolates the rear deltoids.,
Seated Ankle Eversion/Inversion (Band),"Mobility, Rehabilitation",All Ages,"Rehabilitation & Injury prevention, Improve Flexibility & Mobility",Lower Body (Ankles),"Acute ankle sprain, severe stiffness",Level 2 – Beginner Functional,Resistance Band (Therapy),3,15-20 / direction / foot,4-3,45 seconds,Ankle Stability & Ligament Health,"1. Sit on floor, legs straight. Loop a light band around one foot and anchor the other end to a fixed object. 2. Eversion: Slowly pull the foot outward against the band. Inversion: Anchor the band opposite and pull the foot inward. 3. Complete all reps slowly in one direction.",The movement must be controlled and isolated to the ankle joint (no knee movement).,
Standing Heel Raise (Single Leg),"Functional Strength, Rehabilitation",60+,"Increase overall strength, Rehabilitation & Injury prevention",Lower Body (Calves),"Acute Achilles pain, severe dizziness",Level 2 – Beginner Functional,Wall/Chair,3,10-15 / leg,5-4,45 seconds,Unilateral Calf Strength & Ankle Stability,"1. Stand near a wall, balancing on one foot. Use light support if needed. 2. Slowly lift the heel off the floor, pushing up onto the ball of the foot. 3. Hold briefly at the top, then slowly lower the heel back down.","Maintain control throughout the movement. Focus on pushing straight up, not letting the ankle roll inward or outward.",
"Dumbbell Snatch (Single Arm, Light)","Functional Strength, Power",18-50,"Increase overall strength, Power and Speed","Full Body, Core","Acute low back pain, shoulder instability",Level 5 – Adaptive Advanced,Free Weights (Dumbbell),3,5-8 / side,10-9,120 seconds,Explosive Full-Body Power & Coordination,"1. Stand over a dumbbell. Hinge down and grip it. 2. Explode up, pulling the dumbbell vertically close to your body. 3. Punch the weight overhead in one fluid motion, finishing with the arm locked out overhead.","Focus on the hip drive to initiate the lift. Keep the dumbbell close to the body, and maintain a braced core.",
TRX/Suspension Trainer Push-Up,Functional Strength,18-55,"Increase overall strength, Stability","Upper Body, Core","Acute wrist pain, shoulder instability",Level 5 – Adaptive Advanced,Suspension Trainer,3,15-Oct,9-8,90 seconds,Maximal Core & Shoulder Stability Challenge,"1. Place feet in the cradles, hands on the floor (High Plank position). 2. Perform a standard push-up. The instability of the straps increases the core demand.",Maintain a rigid plank position; do not let your hips sag or pike. Control the movement slowly.,
"Banded Hip Abduction (Standing, Fixed Anchor)","Functional Strength, Rehabilitation",All Ages,"Rehabilitation & Injury prevention, Increase overall strength",Lower Body (Glute Medius),"Acute knee pain, recent hip surgery",Level 3 – Moderate / Independent,"Resistance Band (Long), Anchor",3,15-20 / leg,6-5,45 seconds,Glute Isolation & Unilateral Stability,1. Loop a band around one ankle and anchor the other end to a fixed object (low). 2. Step away to create tension. Slowly pull the banded leg straight out to the side. 3. Slowly resist the band as the leg returns to the center.,Keep your standing leg straight and your torso perfectly upright. Do not lean away from the anchor point.,
Yoga: Half-Kneeling Hip Flexor Stretch (Extended Arm),"Flexibility, Yoga",All Ages,"Improve Flexibility & Mobility, Posture",Lower Body (Hip Flexors),"Acute knee pain (use cushion), recent hip surgery",Level 2 – Beginner Functional,Mat/Pillow,2,Hold 45-60 seconds / side,3-2,15 seconds,Deep Psoas & Core Length,1. Start in a half-kneeling position (lunge). Tuck the pelvis strongly forward. 2. Raise the arm corresponding to the back leg straight overhead. 3. Gently lean the upper body away from the stretched side to deepen the stretch.,The pelvic tuck is crucial for isolating the hip flexor. Breathe deeply and maintain the core brace.,
